Flux Into System m/y,LNAPL Source L/yr,Loss Rate m3/ha/yr,NSZD Rate L/ha/yr,Time Period yr,Plume Length m
0.25,250,5,5000,40,28
0.25,250,5,5000,80,34
0.25,250,5,5000,160,38
0.5,510,5,5000,40,40
0.5,510,5,5000,80,48
0.5,510,5,5000,160,53
1,1010,5,5000,40,56
1,1010,5,5000,80,68
1,1010,5,5000,160,75
0.25,250,10,10000,20,20
0.25,250,10,10000,40,24
0.25,250,10,10000,80,26
0.5,510,10,10000,20,28
0.5,510,10,10000,40,34
0.5,510,10,10000,80,38
1,1010,10,10000,20,40
1,1010,10,10000,40,48
1,1010,10,10000,80,53
0.25,250,20,20000,10,14
0.25,250,20,20000,20,17
0.25,250,20,20000,40,19
0.5,510,20,20000,10,20
0.5,510,20,20000,20,24
0.5,510,20,20000,40,26
1,1010,20,20000,10,28
1,1010,20,20000,20,34
1,1010,20,20000,40,38
