Compound Name,Mw (g),Fresh Gasoline,Weathered Gasoline,Approximate Composition
propane,44.1,0.0001,0,0
isobutane,58.1,0.0122,0,0
n-butane,58.1,0.0629,0,0
trans-2-butene,56.1,0.0007,0,0
cis-2-butene,56.1,0,0,0
3-methyl-1-butene,70.1,0.0006,0,0
isopentane,72.2,0.1049,0.0069,0.0177
1-pentene,70.1,0,0.0005,0
2-methyl-1-butene,70.1,0,0.0008,0
"2-methyl-1,3-butadiene",68.1,0,0,0
n-pentane,72.2,0.0586,0.0095,0
trans-2-pentene,70.1,0,0.0017,0
2-methyl-2-butene,70.1,0.0044,0.0021,0
"2-methyl-1,2-butadiene",68.1,0,0.001,0
"3,3-dimethyl-1-butene",84.2,0.0049,0,0
cyclopentane,70.1,0,0.0046,0.0738
3-methyl-1-pentene,84.2,0,0,0
"2,3-dimethylbutane",86.2,0.073,0.0044,0
2-methylpentane,86.2,0.0273,0.0207,0
3-methylpentane,86.2,0,0.0186,0
n-hexane,86.2,0.0283,0.0207,0
methylcyclopentane,84.2,0.0083,0.0234,0
"2,2-dimethylpentane",100.2,0.0076,0.0064,0
benzene,78.1,0.0076,0.0021,0
cyclohexane,84.2,0,0.0137,0.1761
"2,3-dimethylpentane",100.2,0.039,0,0
3-methylhexane,100.2,0,0.0355,0
3-ethylpentane,100.2,0,0,0
n-heptane,100.2,0.0063,0.0447,0
"2,2,4-trimethylpentane",114.2,0.0121,0.0503,0
methylcyclohexane,98.2,0,0.0393,0
"2,2-dimethylhexane",114.2,0.0055,0.0207,0
toluene,92.1,0.055,0.0359,0.1926
"2,3,4-trimethylpentane",114.2,0.0121,0,0
3-methylheptane,114.2,0,0.0343,0
2-methylheptane,114.2,0.0155,0.0324,0
n-octane,114.2,0.0013,0.3,0
"2,4,4-trimethylhexane",128.3,0.0087,0.0034,0
"2,2-dimethylheptane",128.3,0,0.0226,0
ethylbenzene,106.2,0,0.013,0
p-xylene,106.2,0.0957,0.0151,0
m-xylene,106.2,0,0.0376,0.1641
"3,3,4-trimethylhexane",128.3,0.0281,0.0056,0
o-xylene,106.2,0,0.0274,0
"2,2,4-trimethylheptane",142.3,0.0105,0.0012,0
n-noname,128.3,0,0.0382,0
"3,3,5-trimethyiheptane",142.3,0,0,0
n-propylbenzene,120.2,0.0841,0.0117,0.1455
"2,3,4-trimethylheptane",142.3,0,0,0
"1,3,5-trimethylbenzene",120.2,0.0411,0.0493,0
"1,2-4-trimethylbenzene",120.2,0.0213,0.0707,0
n-decane,142.3,0,0.014,0
methylpropylbenzene,134.2,0.0351,0.017,0
dimethylethylbenzene,134.2,0.0307,0.0289,0.0534
n-undecane,156.3,0,0.0075,0
"1,2,4,5-tetramethylbenzene",134.2,0.0133,0.0056,0
"1,2,3,4-tetramethylbenzene",134.2,0.0129,0.0704,0.1411
"1,2,4-trimethyl-5-ethylbenzene",148.2,0.0405,0.0651,0
n-dodecane,170.3,0.023,0,0
napthalene,128.2,0.0045,0.0076,0
n-hexylbenzene,162.3,0,0.0147,0.0357
methylnapthalene,142.2,0.0023,0.0134,0
Total,,1,1,1
