Soil Num,Soil_Type,Porosity,Ks (m/d),Theta_wr,N,alpha (1/m),M
1,Clay_CP,0.38,0.048,0.068,1.09,0.8,0.08
2,Clay loam_CP,0.41,0.062,0.095,1.31,1.9,0.24
3,Loam_CP,0.43,0.25,0.078,1.56,3.6,0.36
4,Loamy sand_CP,0.41,3.5,0.057,2.28,12.4,0.56
5,Silt_CP,0.46,0.06,0.034,1.37,1.6,0.27
6,Silt loam_CP,0.45,0.11,0.067,1.41,2,0.29
7,Silty clay_CP,0.36,0.0048,0.07,1.09,0.5,0.08
8,Silty clay loam_CP,0.43,0.017,0.089,1.23,1,0.19
9,Sand_CP,0.43,7.1,0.045,2.68,14.5,0.63
10,Sandy clay_CP,0.38,0.029,0.1,1.23,2.7,0.19
11,Sandy clay loam_CP,0.39,0.31,0.1,1.48,5.9,0.32
12,Sandy loam_CP,0.41,1.1,0.065,1.89,7.5,0.47
